,Tipo,Bairro,Quartos,Vagas,Suites,Area,Valor,Condominio,IPTU
153,Apartamento,Ipanema,3,2,1,200,15000.0,1500.0,572.0
154,Apartamento,Copacabana,3,1,0,140,3700.0,1347.0,
155,Apartamento,Copacabana,2,0,0,50,2500.0,750.0,760.0
156,Casa,Jardim Carioca,3,2,1,135,3000.0,,
157,Apartamento,Tijuca,3,1,1,78,2500.0,730.0,178.0
158,Quitinete,Centro,0,0,0,28,700.0,400.0,16.0
159,Apartamento,Lagoa,3,1,1,75,4000.0,1250.0,309.0
160,Apartamento,Recreio dos Bandeirantes,3,2,1,102,1850.0,882.0,
161,Apartamento,Tijuca,1,0,0,65,1200.0,320.0,
162,Apartamento,Barra da Tijuca,2,1,0,60,1500.0,1266.0,233.0
163,Apartamento,Copacabana,4,1,2,210,13000.0,2200.0,650.0
164,Apartamento,Maracanã,3,2,3,158,2400.0,1265.0,
165,Apartamento,Barra da Tijuca,2,1,1,83,2000.0,1548.0,260.0
166,Apartamento,Laranjeiras,5,2,1,400,9000.0,3000.0,
167,Apartamento,Barra da Tijuca,3,1,1,84,1900.0,1103.0,212.0
168,Apartamento,Freguesia (Jacarepaguá),3,1,1,77,1600.0,850.0,165.0
169,Apartamento,São Conrado,4,4,4,510,25000.0,6600.0,
170,Apartamento,Tijuca,3,0,0,75,1800.0,350.0,
171,Apartamento,Ipanema,3,1,1,126,5500.0,1400.0,2000.0
172,Casa,Lins de Vasconcelos,2,0,0,40,950.0,,50.0
173,Apartamento,Leblon,4,2,2,250,17500.0,4990.0,620.0
174,Apartamento,Copacabana,4,2,2,436,17000.0,3900.0,1000.0
175,Apartamento,Freguesia (Jacarepaguá),3,3,2,173,3200.0,1800.0,
176,Apartamento,Tijuca,2,1,1,71,1500.0,600.0,
177,Apartamento,Barra da Tijuca,2,1,1,81,1900.0,1200.0,121.0
178,Casa de Condomínio,Barra da Tijuca,4,2,4,595,30000.0,2500.0,2510.0
179,Apartamento,Leblon,3,1,0,87,3800.0,970.0,273.0
180,Casa de Condomínio,Recreio dos Bandeirantes,4,4,4,267,6500.0,700.0,3308.0
181,Apartamento,Laranjeiras,4,1,2,288,7000.0,1870.0,582.0
182,Apartamento,Recreio dos Bandeirantes,1,1,1,102,1900.0,688.0,
183,Apartamento,Leblon,2,1,0,70,4200.0,1100.0,200.0
184,Apartamento,Cidade Nova,1,0,0,46,1000.0,,
185,Apartamento,Pilares,3,0,0,65,1200.0,350.0,16.0
186,Apartamento,Barra da Tijuca,3,3,2,169,6500.0,1886.0,450.0
187,Quitinete,Copacabana,1,0,0,23,1000.0,562.0,
188,Apartamento,Laranjeiras,3,1,1,90,2400.0,1311.0,
189,Apartamento,Tijuca,2,0,0,50,1800.0,347.0,25.0
190,Apartamento,Olaria,1,0,0,39,800.0,,
191,Apartamento,Ipanema,3,1,1,140,6500.0,1800.0,506.0
192,Apartamento,Campo Grande,2,0,0,60,800.0,380.0,
193,Apartamento,Ipanema,4,1,1,170,12000.0,1210.0,4222.0
194,Casa,Tijuca,4,1,1,191,4000.0,300.0,
195,Apartamento,Centro,1,0,0,35,1350.0,420.0,24.0
196,Apartamento,Tijuca,2,0,0,63,1400.0,440.0,61.0
197,Casa de Condomínio,São Conrado,3,2,1,250,5500.0,750.0,500.0
198,Apartamento,Copacabana,3,1,0,112,3800.0,1123.0,286.0
199,Apartamento,Leblon,3,0,1,85,8500.0,,1719.0
200,Apartamento,Tijuca,3,1,0,129,1800.0,850.0,116.0
201,Apartamento,Barra da Tijuca,4,3,3,160,8600.0,2300.0,250.0
202,Apartamento,Recreio dos Bandeirantes,2,1,1,93,1400.0,1300.0,
203,Apartamento,Freguesia (Jacarepaguá),3,1,1,93,1800.0,650.0,95.0
204,Apartamento,Barra da Tijuca,1,1,1,60,2200.0,1600.0,350.0
205,Apartamento,Taquara,2,2,0,55,790.0,350.0,
206,Quitinete,Centro,1,0,0,33,990.0,463.0,25.0
207,Apartamento,Copacabana,2,0,0,54,1800.0,590.0,
208,Casa Comercial,Glória,0,0,0,139,16740.0,1953.0,139.0
209,Flat,Arpoador,1,1,1,55,3000.0,1865.0,337.0
210,Apartamento,Catete,2,1,1,70,3300.0,1365.0,180.0
211,Apartamento,Copacabana,5,1,3,390,10000.0,1000.0,1000.0
212,Apartamento,Maracanã,2,1,0,53,1300.0,492.0,16.0
213,Apartamento,Tomás Coelho,2,0,0,70,800.0,,
214,Apartamento,Botafogo,1,0,0,35,1000.0,293.0,86.0
215,Apartamento,Tijuca,3,1,0,164,3500.0,1310.0,257.0
216,Apartamento,Jacarepaguá,2,1,1,60,1200.0,524.0,13.0
217,Apartamento,Água Santa,2,1,0,50,850.0,280.0,12.0
218,Apartamento,Botafogo,2,1,1,79,4315.0,1110.0,187.0
219,Apartamento,Recreio dos Bandeirantes,2,1,1,80,1600.0,615.0,3.0
220,Apartamento,Tijuca,1,0,0,36,1300.0,295.0,24.0
221,Apartamento,Jardim Oceânico,4,4,3,190,5700.0,1069.0,808.0
222,Apartamento,Freguesia (Jacarepaguá),3,1,0,84,1500.0,900.0,
223,Apartamento,São Cristóvão,2,0,0,50,1000.0,600.0,
224,Quitinete,Copacabana,1,0,0,26,1400.0,370.0,21.0
225,Casa de Condomínio,Barra da Tijuca,4,4,4,1000,30000.0,2695.0,23715.0
226,Apartamento,Ilha do Governador,3,1,0,83,1500.0,440.0,132.0
227,Apartamento,Olaria,2,0,0,90,1000.0,150.0,
228,Apartamento,Humaitá,1,0,0,57,3990.0,860.0,100.0
229,Apartamento,Maracanã,3,1,0,95,2500.0,600.0,80.0
230,Casa de Vila,Jardim Sulacap,2,1,2,115,1600.0,1.0,60.0
231,Apartamento,Leblon,4,2,2,200,11000.0,2900.0,580.0
232,Apartamento,Barra da Tijuca,2,1,1,63,1900.0,824.0,
233,Apartamento,Gávea,2,1,1,100,3900.0,1300.0,320.0
234,Apartamento,Ipanema,3,2,1,165,7500.0,2200.0,532.0
235,Apartamento,Ipanema,3,2,2,160,6000.0,3500.0,4600.0
236,Apartamento,Flamengo,1,1,0,48,2100.0,580.0,70.0
237,Apartamento,Leblon,2,1,1,87,4800.0,1300.0,361.0
238,Casa de Vila,Oswaldo Cruz,1,0,1,40,800.0,,
239,Apartamento,Barra da Tijuca,3,1,1,105,2500.0,1400.0,1500.0
240,Casa de Condomínio,Freguesia (Jacarepaguá),2,1,0,163,1800.0,92.0,46.0
241,Quitinete,Copacabana,1,0,0,30,1300.0,370.0,30.0
242,Apartamento,Barra da Tijuca,3,1,1,80,3500.0,1410.0,270.0
243,Apartamento,Botafogo,3,1,1,102,5100.0,1300.0,
244,Apartamento,Gávea,3,0,1,120,2700.0,880.0,238.0
245,Apartamento,Humaitá,2,2,1,112,4500.0,1300.0,
246,Apartamento,Vila da Penha,2,0,0,60,900.0,160.0,25.0
247,Apartamento,Lagoa,1,1,0,75,2800.0,800.0,210.0
248,Apartamento,Ipanema,3,1,1,125,7000.0,2100.0,463.0
249,Apartamento,Engenho Novo,2,0,0,53,1400.0,460.0,12.0
250,Apartamento,Recreio dos Bandeirantes,3,3,1,132,2800.0,879.0,
251,Loft,Barra da Tijuca,1,1,1,78,2700.0,1370.0,188.0
252,Apartamento,Barra da Tijuca,2,2,1,86,3500.0,1307.0,
253,Apartamento,Recreio dos Bandeirantes,2,1,1,80,1700.0,690.0,150.0
254,Apartamento,Recreio dos Bandeirantes,4,2,2,200,3600.0,1177.0,320.0
255,Apartamento,Barra da Tijuca,2,1,1,77,2500.0,830.0,156.0
256,Apartamento,Engenho Novo,1,1,0,63,700.0,625.0,36.0
257,Casa,Grajaú,5,4,2,450,7000.0,,500.0
258,Apartamento,Barra da Tijuca,4,2,2,149,4500.0,2130.0,
259,Apartamento,Recreio dos Bandeirantes,3,2,2,106,2500.0,780.0,248.0
260,Apartamento,Anil,2,1,0,48,1100.0,400.0,
261,Apartamento,Ipanema,4,1,2,250,12000.0,2300.0,1050.0
262,Apartamento,Gávea,2,1,1,68,2700.0,850.0,186.0
263,Apartamento,Barra da Tijuca,2,1,1,75,1400.0,1280.0,
264,Apartamento,Ipanema,2,1,1,97,7000.0,4000.0,4725.0
265,Casa de Condomínio,Vargem Grande,2,2,1,90,1700.0,618.0,338.0
266,Apartamento,Cachambi,3,0,0,70,900.0,200.0,30.0
267,Quitinete,Leblon,1,0,0,30,1700.0,560.0,62.0
268,Apartamento,Copacabana,4,2,1,279,3150.0,2025.0,370.0
269,Casa,Tanque,2,1,0,59,1200.0,170.0,
270,Apartamento,Laranjeiras,5,3,2,713,30000.0,3800.0,
271,Apartamento,Cachambi,2,1,0,70,950.0,530.0,30.0
272,Casa,Campo Grande,3,0,0,200,2100.0,,
273,Apartamento,Recreio dos Bandeirantes,4,2,1,400,3500.0,800.0,500.0
274,Apartamento,Recreio dos Bandeirantes,2,1,1,89,1800.0,884.0,170.0
275,Apartamento,Maracanã,1,1,1,120,1000.0,985.0,150.0
